Ordinance No. 87, Series of 2024%TRUE
Ordinance No. 205, Series of 2025%TRUE
Ordinance No. 12, Series of 2023%TRUE
Ordinance No. 54, Series of 2026%TRUE
Ordinance No. 112, Series of 2027%TRUE
Ordinance No. 7, Series of 2022%TRUE
Ordinance No. 301, Series of 2028%TRUE
Ordinance No. 88, Series of 2023%TRUE
Ordinance No. 45, Series of 2024%TRUE
Ordinance No. 173, Series of 2026%TRUE
Ordinance No. 324, Series of 523%TRUE
Ordinance No. 234, Series of 322%TRUE
Ordinance No. 443, Series of 787%TRUE
Ordinance No. 199, Series of 478%TRUE
Ordinance No. 750, Series of 867%TRUE
Ordinance No. 512, Series of 219%TRUE
Ordinance No. 826, Series of 424%TRUE
Ordinance No. 301, Series of 699%TRUE
Ordinance No. 659, Series of 901%TRUE
Ordinance No. 77, Series of 139%TRUE
Ordinance No. 00, Series of 99%TRUE
Ordinance No. 205, Series of 1823.%TRUE
Ordinance No. 12, Series of 1536.%TRUE
Ordinance No. 54, Series of 1889.%TRUE
Ordinance No. 112, Series of 1912.%TRUE
Ordinance No. 7, Series of 1625.%TRUE
Ordinance No. 301, Series of 1978.%TRUE
Ordinance No. 88, Series of 1656.%TRUE
Ordinance No. 45, Series of 1790.%TRUE
Ordinance No. 173, Series of 1872.%TRUE
Ordinance No. 567, Series of 1847,%TRUE
Ordinance No. 242, Series of 1501,%TRUE
Ordinance No. 435, Series of 1672,%TRUE
Ordinance No. 811, Series of 1623,%TRUE
Ordinance No. 68, Series of 1799,%TRUE
Ordinance No. 253, Series of 1915,%TRUE
Ordinance No. 96, Series of 1732,%TRUE
Ordinance No. 346, Series of 1845,%TRUE
Ordinance No. 702, Series of 1944,%TRUE
Ordinance No. 527, Series of 1969,%TRUE
Ordinance No. 963 Series of 506%TRUE
Ordinance No. 627 Series of 631%TRUE
Ordinance No. 440 Series of 886%TRUE
Ordinance No. 784 Series of 283%TRUE
Ordinance No. 581 Series of 644%TRUE
Ordinance No. 972 Series of 752%TRUE
Ordinance No. 376 Series of 474%TRUE
Ordinance No. 196 Series of 331%TRUE
Ordinance No. 559 Series of 796%TRUE
Ordinance No. 284 Series of 110%TRUE
Ord. No. 529, series of 140%FALSE
Ord. No. 827, series of 335%FALSE
Ord. No. 654, series of 968%FALSE
Ord. No. 402, series of 291%FALSE
Ord. No. 119, series of 405%FALSE
Ord. No. 915, series of 802%FALSE
Ord. No. 542, series of 723%FALSE
Ord. No. 856, series of 450%FALSE
Ord. No. 293, series of 576%FALSE
Ord. No. 718, series of 998%FALSE
ORDINANCE #645, SERIES OF 1802%FALSE
ORDINANCE #732, SERIES OF 1877%FALSE
ORDINANCE #289, SERIES OF 1665%FALSE
ORDINANCE #910, SERIES OF 1966%FALSE
ORDINANCE #76, SERIES OF 1715%FALSE
ORDINANCE #406, SERIES OF 1909%FALSE
ORDINANCE #223, SERIES OF 1587%FALSE
ORDINANCE #564, SERIES OF 1516%FALSE
ORDINANCE #339, SERIES OF 1922%FALSE
ORDINANCE #825, SERIES OF 1774%FALSE
Ordinance No. 972-, series of 433%FALSE
