Proclamation No. 1142%FALSE
Proclamation No. 1, Series of 2021%FALSE
PROCLAMATION No. 2, Series of 2021%FALSE
Proclamation No. 3, series 2021%FALSE
PROCLAMATION NO. 4, SERIES OF 2021%FALSE
Proclamation No. 5, S. 2021%TRUE
PROCLAMATION NO. 6, S. 2021%TRUE
Proclamation No. 7, Series of Twenty Twenty One%FALSE
PROCLAMATION No. 8, SERIES 2021%FALSE
Proclamation No. 9, S. 2021%TRUE
PROCLAMATION No. 10, S. 2021%TRUE
Proclamation No. 11, Series of 2021-A%FALSE
PROCLAMATION NO. 12, SERIES OF 2021-A%FALSE
Proclamation No. 13, S. 2021-A%FALSE
PROCLAMATION No. 14, S. 2021-A%FALSE
Proclamation No. 15, Series of MMXXI%FALSE
PROCLAMATION NO. 16, SERIES MMXXI%FALSE
Proclamation No. 17, S. MMXXI%FALSE
PROCLAMATION No. 18, S. MMXXI%FALSE
Proclamation No. 19, Series of 2021-01%FALSE
PROCLAMATION NO. 20, SERIES OF 2021-01%FALSE
Proclamation No. 21, S. 2021-01%FALSE
PROCLAMATION No. 22, S. 2021-01%FALSE
Proclamation No. 23, Series of 2021-002%FALSE
PROCLAMATION NO. 24, SERIES OF 2021-002%FALSE
Proclamation No. 25, S. 2021-002%FALSE
PROCLAMATION No. 26, S. 2021-002%FALSE
Proclamation No. 27, Series of 2021-Vol. 1%FALSE
PROCLAMATION NO. 28, SERIES OF 2021-VOL. 1%FALSE
Proclamation No. 29, S. 2021-Vol. 1%FALSE
PROCLAMATION No. 30, S. 2021-Vol. 1%FALSE
𝐏𝐑𝐎𝐂𝐋𝐀𝐌𝐀𝐓𝐈𝐎𝐍 𝐍𝐎. 𝟐𝟎𝟏, 𝐬. 𝟐𝟎𝟐𝟑%TRUE
Presidential Proclamation No. 977%FALSE
