RESOLUTION NO. 87, SERIES OF 2024%TRUE
RESOLUTION NO. 205, SERIES OF 2025%TRUE
RESOLUTION NO. 12, SERIES OF 2023%TRUE
RESOLUTION NO. 54, SERIES OF 2026%TRUE
RESOLUTION NO. 112, SERIES OF 2027%TRUE
RESOLUTION NO. 7, SERIES OF 2022%TRUE
RESOLUTION NO. 301, SERIES OF 2028%TRUE
RESOLUTION NO. 88, SERIES OF 2023%TRUE
RESOLUTION NO. 45, SERIES OF 2024%TRUE
RESOLUTION NO. 173, SERIES OF 2026%TRUE
RESOLUTION NO. 324, SERIES OF 523%TRUE
RESOLUTION NO. 234, SERIES OF 322%TRUE
RESOLUTION NO. 443, SERIES OF 787%TRUE
RESOLUTION NO. 199, SERIES OF 478%TRUE
RESOLUTION NO. 750, SERIES OF 867%TRUE
RESOLUTION NO. 512, SERIES OF 219%TRUE
RESOLUTION NO. 826, SERIES OF 424%TRUE
RESOLUTION NO. 301, SERIES OF 699%TRUE
RESOLUTION NO. 659, SERIES OF 901%TRUE
RESOLUTION NO. 77, SERIES OF 139%TRUE
RESOLUTION NO. 00, SERIES OF 99%TRUE
RESOLUTION NO. 205, SERIES OF 1823.%TRUE
RESOLUTION NO. 12, SERIES OF 1536.%TRUE
RESOLUTION NO. 54, SERIES OF 1889.%TRUE
RESOLUTION NO. 112, SERIES OF 1912.%TRUE
RESOLUTION NO. 7, SERIES OF 1625.%TRUE
RESOLUTION NO. 301, SERIES OF 1978.%TRUE
RESOLUTION NO. 88, SERIES OF 1656.%TRUE
RESOLUTION NO. 45, SERIES OF 1790.%TRUE
RESOLUTION NO. 173, SERIES OF 1872.%TRUE
RESOLUTION NO. 567, SERIES OF 1847,%TRUE
RESOLUTION NO. 242, SERIES OF 1501,%TRUE
RESOLUTION NO. 435, SERIES OF 1672,%TRUE
RESOLUTION NO. 811, SERIES OF 1623,%TRUE
RESOLUTION NO. 68, SERIES OF 1799,%TRUE
RESOLUTION NO. 253, SERIES OF 1915,%TRUE
RESOLUTION NO. 96, SERIES OF 1732,%TRUE
RESOLUTION NO. 346, SERIES OF 1845,%TRUE
RESOLUTION NO. 702, SERIES OF 1944,%TRUE
RESOLUTION NO. 527, SERIES OF 1969,%TRUE
Resolution No. 963 series of 506%TRUE
Resolution No. 627 series of 631%TRUE
Resolution No. 440 series of 886%TRUE
Resolution No. 784 series of 283%TRUE
Resolution No. 581 series of 644%TRUE
Resolution No. 972 series of 752%TRUE
Resolution No. 376 series of 474%TRUE
Resolution No. 196 series of 331%TRUE
Resolution No. 559 series of 796%TRUE
Resolution No. 284 series of 110%TRUE
Res. No. 529, series of 140%FALSE
Res. No. 827, series of 335%FALSE
Res. No. 654, series of 968%FALSE
Res. No. 402, series of 291%FALSE
Res. No. 119, series of 405%FALSE
Res. No. 915, series of 802%FALSE
Res. No. 542, series of 723%FALSE
Res. No. 856, series of 450%FALSE
Res. No. 293, series of 576%FALSE
Res. No. 718, series of 998%FALSE
RESOLUTION #645, SERIES OF 1802%FALSE
RESOLUTION #732, SERIES OF 1877%FALSE
RESOLUTION #289, SERIES OF 1665%FALSE
RESOLUTION #910, SERIES OF 1966%FALSE
RESOLUTION #76, SERIES OF 1715%FALSE
RESOLUTION #406, SERIES OF 1909%FALSE
RESOLUTION #223, SERIES OF 1587%FALSE
